,time,club,id,first_name,gender,trained_10_week,trained_im,has_trainer,Age,VO2 Max,BMI,n Marathons run,Cadence
7448,03:46:00,,7426,Madge,female,0,3,0,36,12.71832329,999,0,163
5363,03:26:40,,5345,Vaida,female,3,5,0,30,12.71832329,19.05,0,157
11420,03:26:37,,11387,Melissa,female,5,6,0,38,13.46,21.13,0,165
9408,03:21:11,Absolute 545 RunClub,9384,James,male,0,1,0,38,20.01,18.86,0,154
6604,03:20:41,,6585,Cheryl,female,0,4,0,43,12.71832329,19.75,0,166
14648,03:18:24,,14601,Joanne,female,5,5,0,42,21.03,19.73,0,167
3156,03:18:24,,3146,Diane,female,5,5,0,32,14.47,22,0,155
1961,03:18:23,,1958,Honor,female,2,7,0,41,20.72,19.35,0,157
11419,03:18:23,,11386,Linda,female,0,0,0,33,12.71832329,20.11,0,157
11418,03:18:22,,11385,Sky,female,4,5,0,37,12.18,18.19,0,165
4663,03:18:21,,4646,Gemma,female,0,0,0,34,13.3,17.86,0,154
8060,03:11:02,,8038,Christopher,male,2,2,0,37,11.84,19.05,0,157
8059,03:11:02,,8037,Ryan,male,5,5,0,41,10.93,19.9,0,156
9679,03:09:36,,9652,Michelle,female,6,6,0,39,15.61,21.69,0,159
7447,03:09:36,,7425,Caroline,female,1,1,0,39,14.31,19.42,0,159
3155,03:05:45,2 Dash,3145,Sam,male,3,3,0,32,12.71832329,21.57,0,158
8058,03:04:39,,8036,Anthony,male,0,4,0,43,11.69,18.94,0,158
11417,03:04:38,,11384,Alistair,male,1,7,0,41,27.77,23.22,0,161
6603,03:04:38,,6584,Abi,male,0,2,0,32,13.02,19.96,0,167
1960,03:04:37,,1957,Jake,male,1,2,0,51,12.71832329,21.76,0,161
3154,03:04:37,,3144,Ben,male,0,6,0,40,21.47,19.62,0,164
9407,03:04:36,,9383,Albie,male,5,5,0,38,27.75,19.51,0,166
4169,03:03:54,,4156,Angela,female,1,2,0,33,15.68,18.01,0,153
11416,03:03:15,,11383,Ilar,male,0,1,0,30,14.06,20.78,0,166
7094,03:01:07,,7072,Nelson,male,0,2,0,43,17.69,20.25,0,161
4662,02:59:58,,4645,John,male,0,3,0,34,12.71832329,21.83,0,163
3842,02:59:53,,3830,Laura,female,3,3,0,28,14.64,22.08,0,160
9406,02:59:52,Uckfield Runners,9382,Paul,male,4,4,0,38,12.71832329,19.96,0,151
3153,02:58:16,,3143,Joanne,female,0,2,0,40,25.11,20.38,0,164
1959,02:57:38,,1956,Karina,female,5,5,0,44,18.71,22.9,0,160
11415,02:57:05,,11382,John,male,1,5,0,36,12.71832329,21.34,0,1
8057,02:57:01,,8035,Kim-marina,male,2,2,0,33,12.71832329,20.94,0,164
6602,02:56:58,,6583,Alex,male,2,2,0,50,25.59,20.6,0,162
12793,02:56:50,,12756,Rachel,female,0,4,0,24,12.71832329,17.59,0,155
4661,02:56:45,,4644,Angela,female,1,1,0,43,12.71832329,19.49,0,163
9405,02:56:41,,9381,Moss,male,0,2,0,37,0,22.18,0,165
14566,02:55:52,,14523,Catharine,female,0,5,0,38,12.71832329,19.97,0,158
14565,02:55:49,,14522,Mark,male,2,3,0,34,23.55,20.85,0,167
13454,02:55:48,,13412,Anne,female,3,3,0,37,17.26,20.89,0,153
14563,02:55:36,,14520,Ashanthie,male,1,4,0,39,36.65,20.68,0,156
14564,02:55:36,,14521,Minolie,male,1,4,0,30,12.71832329,22.48,0,165
12792,02:55:34,,12755,Paul,male,8,8,0,33,25.65,18.79,0,162
12791,02:55:34,,12754,Vanessa,female,0,5,0,32,18.79,21.22,0,165
13312,02:55:34,,13271,Jane,female,1,4,0,39,12.71832329,20.86,0,154
12790,02:55:33,,12753,Mark,male,3,4,0,50,15.64,21.1,0,151
3152,02:55:29,Lonely Goat Running Club,3142,Sarah,female,0,3,0,33,16.35,18.97,0,174
1958,02:54:27,,1955,Susan,female,3,3,0,38,14.42,21.78,0,160
8056,02:54:23,,8034,Joanna,female,2,2,0,31,12.71832329,22.29,0,163
14562,02:54:23,,14519,Alvin,male,0,3,0,32,18.44,19.47,0,153
8055,02:54:15,,8033,Emma,female,3,3,0,41,32.84,20.49,0,153
10694,02:53:54,,10664,Lisa,female,2,2,0,33,31.57,18.26,0,161
7093,02:53:10,,7071,Craig,male,4,4,0,36,12.71832329,21.35,0,165
7092,02:52:04,,7070,Sam,male,0,4,0,45,12.71832329,19,0,158
4168,02:51:46,,4155,Seraphina,male,0,1,0,27,15.92,19.86,0,155
5362,02:51:43,,5344,Anna,female,5,5,0,30,26.33,22.95,0,161
3151,02:51:26,,3141,Zoe,female,0,3,0,34,11.13,19.75,0,154
12789,02:50:53,,12752,Garry,male,2,4,0,38,10.72,19.1,0,159
1957,02:50:16,,1954,Carol,female,0,7,0,29,0,19.59,0,166
6601,02:49:53,Vegan Runners UK,6582,Joanna,female,5,5,0,36,29.24,20.07,0,157
9678,02:49:29,,9651,Carol,female,0,1,0,31,23.11,22.41,0,156
1956,02:49:27,,1953,Val,female,0,5,0,37,17.01,21.44,0,157
7091,02:49:25,,7069,Roger,male,0,6,0,34,15.55,19.62,0,162
1955,02:48:30,,1952,Katelyn,female,2,6,0,38,21.74,20.42,0,158
12788,02:48:28,,12751,Kayleigh,female,2,3,0,35,11.01,21.24,0,154
3841,02:48:27,,3829,Karen,female,3,3,0,31,25.44,22.19,0,170
3840,02:48:26,,3828,Michael,male,2,5,0,39,22.03,19.82,0,159
12787,02:48:23,,12750,Jane,female,0,3,0,27,12.71832329,20.03,0,164
3150,02:48:18,,3140,Roger,male,4,4,0,31,12.71832329,16.68,0,165
14561,02:48:15,,14518,Ben,male,4,4,0,35,15.54,20.47,0,166
13311,02:48:02,,13270,Christina,female,0,4,0,41,16.69,18.77,0,155
14560,02:47:56,,14517,Sarah,female,0,1,0,27,17.3,20.13,0,157
8054,02:47:56,,8032,Mollie,female,0,2,0,32,12.71832329,19.67,0,156
11414,02:47:45,,11381,Scott,male,0,3,0,36,12.71832329,19.8,0,158
14559,02:47:38,,14516,Cara,female,0,2,0,38,12.71832329,19.17,0,162
5361,02:47:24,,5343,Kathy,female,1,4,0,29,14.58,21.47,0,164
7446,02:47:14,,7424,Nikki,female,0,1,0,41,12.71832329,20.43,0,160
5360,02:47:14,Brighton & Hove Womens Running Club,5342,Helen,female,0,5,1,27,12.71832329,20.51,0,158
6600,02:47:11,,6581,Rowen,male,0,3,0,31,19.54,21.48,0,156
9404,02:47:04,,9380,Julie,female,2,4,0,27,0,21.21,0,160
7090,02:46:56,,7068,Shelley,female,5,5,0,40,11.25,18.63,0,156
6599,02:46:54,,6580,Katie,female,2,2,0,29,13.44,17.72,0,156
6598,02:46:48,,6579,Dot,female,0,3,0,24,19.99,20.49,0,162
14558,02:46:45,,14515,Hannah,female,1,4,0,39,18.73,18.26,0,161
12786,02:46:43,,12749,Elaine,female,0,4,0,38,26.21,19.08,0,161
3149,02:46:38,,3139,Mick,male,1,2,0,37,17.26,23,0,164
9403,02:46:37,,9379,Paul,male,0,5,0,34,12.71832329,22.17,0,158
6597,02:46:23,,6578,Debra,female,0,2,0,37,31.44,20.99,20000,1
10693,02:46:23,,10663,Malcolm,male,0,4,0,38,15.31,18.75,0,157
5359,02:46:01,Bognor Regis Tone Zone Runners,5341,David,male,0,3,0,31,31.77,22.54,0,156
13453,02:45:44,12 in 12,13411,Elizabeth,female,0,3,0,45,18.08,20.99,0,157
3148,02:45:26,,3138,Tracy,female,0,4,0,30,12.71832329,21.22,0,159
3147,02:45:25,,3137,Aimee,female,0,2,0,35,21.01,18.53,0,164
